Perforation interval (ft),Frac_fluid_vol(bbls),Proppant qty(lbs),number of frac stages,tubing depth(ft),Casing depth(ft),FTP(psi),choke size(1/64 in),SITHP(psi),SG of gas,Well Type,Latitude,Long.,Gas prod/mth,acid
451,32857.14286,129500,1,7636,7835,350,28,3065,0.7,3,33.0502091,-97.3086457,1969.8,1
610,24897,140000,2,8641,9207,490,20,1715,0.718,3,33.247934,-97.1860877,2213.612903,1
386,30476.19048,138125,1,7481,8029,1925,13,3015,0.7,3,33.024084,-97.3200901,3939.757895,1
458,33809.52381,132500,1,7624,7825,375,128,1225,0.7,3,33.0544062,-97.3137934,2892.659091,1
551,43518,264100,3,7745,8713,460,16,2300,0.7,3,33.2031943,-97.2204481,2877.47619,1
510,26752,121300,1,7655,8172,565,32,2515,0.7,3,33.1792964,-97.3667026,3440.3,1
543,41428.57143,153100,2,8466,8698,1155,20,3715,0.715,3,33.2094995,-97.271494,3626.26506,1
438,37077,164500,1,7250,8036,189.2,16,2764.2,0.7,3,33.1635446,-97.3838758,8001.048544,1
443,28617,125600,1,7739,8184,315,32,2665,0.7,3,33.0939509,-97.2539869,4519.440476,1
690,23466,332300,3,7903,9086,105,48,2100,0.6,3,33.4254107,-97.3828884,1330.9375,1
450,27676,127900,1,7734,8209,235,32,2014,0.7,3,33.0984015,-97.2572661,4370.060976,1
218,21429,127500,1,7660,8056,264.2,44,2514.2,0.7,3,33.2049126,-97.3794129,8253.08547,1
414,43214.28571,206600,2,7977,8172,1675,14,3015,0.7,3,33.2065123,-97.3849597,3358.794118,1
780,31890,520148,3,7874,9050,150,48,1400,0.6,3,33.4140637,-97.3811393,2367.909091,1
384,29523.80952,144800,1,7521,7767,525,24,2995,0.7,3,33.0203422,-97.2695337,2780.053333,1
426,31623.54762,620000,1,7255,7811,500,18,2750,0.69,3,33.0432069,-97.305754,4181.848485,1
496,28872,152500,1,7500,8002,400,32,2550,0.7,3,33.1734751,-97.3923347,3931.032258,1
399,36328.2619,195000,2,7920,8261,310,16,400,0.7,3,33.1256467,-97.2812979,2143.255319,1
440,28989,141900,1,7655,8214,300,32,2400,0.7,3,33.1000746,-97.2691629,3666.193182,1
452,32699,335500,1,7743,7969,450,48,1950,0.7,3,33.0819159,-97.3095176,2371.290323,1
404,32380.95238,136000,1,7524,7722,1275,16,2995,0.7,3,33.0233006,-97.3137395,4928.72,1
887,39611,538740,4,7740,8997,360,28,750,0.6,3,33.4099361,-97.3821167,3228.805556,1
510,31563,86000,1,7583,8120,250,32,1800,0.7,3,33.17288,-97.379419,4339.909091,1
392,30329,170000,1,7382,7693,1425,12,2988,0.7,3,33.0244163,-97.3527311,5550.378378,1
208,33573,223350,1,8508,8737,725,48,2650,0.7,3,33.2006807,-97.2123509,7061.875,1
456,33452.38095,168750,1,7554,7860,885,12,1265,0.7,3,33.0620508,-97.3694497,10609.37143,1
829,25416,189000,2,8625,9222,765,25,1835,0.716,3,33.247993,-97.1894487,1756.904762,1
809,26313,80357,2,8090,8937,1965,12,2335,0.7,3,33.2264492,-97.231597,2350.320988,1
390,25844.16667,141500,1,7603,7325,335,48,1810,0.7,3,33.0315164,-97.254566,2777.360656,1
988,57089,332651,3,8457,9168,865,19,2650,0.7,3,33.2619638,-97.2187701,4285.12,2
432,32857.14286,129500,1,7605,7810,1050,16,3065,0.7,3,33.043069,-97.3163682,4866.705882,1
414,39650.14286,297059,2,7735,8223,1850,12,3200,0.7,3,33.2217485,-97.3885524,4750.030612,1
487,24493,93940,1,7374,7393,624,26,1190,0.61,3,33.0564595,-97.2456801,2091.051948,1
320,42932,401382,3,8102,8985,650,26,1300,0.588,3,33.1460514,-97.1429347,6091.983871,1
390,30952.38095,154000,1,7454,7671,1455,11,2865,0.7,3,33.0208764,-97.363184,7472.40404,1
502,27067,170485,1,7769,8110,354,48,2781,0.7,3,33.0574593,-97.2381376,2350.811321,1
406,30714.28571,156000,1,7345,7590,985,14,2395,0.7,3,33.0336152,-97.3968932,7479.58,1
267,15382,1510000,1,7806,8123,1512.7,15,2314.2,0.7,3,33.0863327,-97.2534866,4288.137097,1
441,31212.14286,238986,3,8540,8973,410,28,3100,0.581,3,33.1335678,-97.1427402,1631.907407,1
297,31666.66667,257750,2,7849,8289,1215,32,2915,0.7,3,33.1260202,-97.3779878,9759.26087,1
556,41429.85714,894837,3,8227,9151,565,20,3065,0.7,3,33.1580708,-97.1387711,2486.47619,1
170,21624,267000,1,9066,9464,30,28,1250,0.7,3,33.2619335,-97.1861284,885.4242424,1
395,31071.42857,132750,1,7326,7657,2817,10,3115,0.7,3,33.0269711,-97.3644894,6740.070707,1
287,32142.85714,220212,2,7798,8264,990,12,1235,0.7,3,33.1238907,-97.3828275,6038.257143,1
390,30952.38095,234400,1,7588,7900,1275,24,3015,0.7,3,33.0185539,-97.2546437,5323.528571,1
407,44084,604430,3,8357,8760,64,13,2575,0.7,3,33.2425685,-97.3298875,7559.94,2
646,47619.04762,183600,2,8550,8793,1275,8,3435,0.774,3,33.2376859,-97.2826899,3325.58427,1
498,40542,296833,3,8420,8582,90,16,1500,0.7,3,33.2493696,-97.387915,3332.255814,1
351,33095.2381,270250,2,7892,8289,325,16,2395,0.7,3,33.1568535,-97.3786585,8152.39726,1
644,46142.85714,238700,2,8481,8853,495,20,2695,0.705,3,33.2056311,-97.232634,3928.078947,1
408,34285.71429,184250,1,7471,7740,1625,11,2695,0.7,3,33.0421306,-97.3680545,8000.589286,1
344,45046,375800,2,7532,8247,450,32,1625,0.7,3,33.0953622,-97.2490356,8471.297872,1
466,30357.14286,119750,1,7831,8090,2030,14,2695,0.7,3,33.0992687,-97.3886634,19654.77528,1
761,46880.95238,199650,2,8021,8035,515,9,3165,0.724,3,33.2378543,-97.2752223,2218.493151,1
474,30238.09524,154000,1,7351,7571,750,22,1715,0.7,3,33.0206321,-97.3954608,11254.04854,1
454,26857.14286,136750,1,7774,7886,240,48,3100,0.7,3,33.0435081,-97.2545736,2147.571429,1
252,16540,1658000,1,7684,8063.7,1274,22,2954,0.7,3,33.0929754,-97.2608823,5480.1875,1
440,25523.80952,178916,1,7416,7852,1375,12,2575,0.7,3,33.0647509,-97.3683715,8633.887097,1
392,30863,169136,2,7788,8220,885,16,3150,0.7,3,33.2187878,-97.3659969,8134.76087,1
777,24064,120000,2,8015,8557,1065,18,2380,0.725,3,33.2995581,-97.3510564,4609.343284,1
472,32182,101200,1,7553,8062,360,32,2220,0.7,3,33.176727,-97.3724825,1254.520548,1
436,29923,140000,1,7551,7855,1075,14,2100,0.7,3,33.030789,-97.2582719,3579.590361,1
500,32142.85714,140250,1,7650,7997,380,48,3105,0.7,3,33.0574904,-97.2433434,2245.063291,1
379,33168,401435,3,8449,8840,589,17,2200,0.73,3,33.2256566,-97.2820287,2870.438596,2
400,33695.19048,156166,2,7765,8195,300,14,1710,0.7,3,33.2327151,-97.3836979,2086.072289,1
642,31059.52381,178000,2,8492,8830,1065,20,3255,0.7,3,33.1908127,-97.2045926,3530.133333,1
472,32433,131368,1,7442,7812,1550,10,3061,0.7,3,33.0746172,-97.3336045,5845.568421,1
435,33809.52381,170000,1,7810,8057,2615,10,2615,0.7,3,33.1030566,-97.3822305,6903.181818,1
623,35714.28571,148000,1,8142,8373,505,16,2630,0.7,3,33.1636865,-97.3002991,5345.813953,1
314,32761,233000,2,7507,7882,1775,12,2670,0.7,3,33.084049,-97.3156008,4318.578947,1
360,27089,436500,3,8181,8796,454.3,48,2514.3,0.69,3,33.2213051,-97.2803673,1833.615385,2
219,33589,200175,2,8481,8795,1407.7,16,1514.7,0.6738,3,33.2241561,-97.2666957,3217.028169,1
423,32857.14286,129500,1,7554,7770,2435,9,3005,0.7,3,33.043409,-97.3344253,6877.45679,1
419,33754,146500,2,7380,8252,720,16,3175,0.7,3,33.2315802,-97.3800834,6643.154762,1
684,43531,171844,3,8469,8956,614.6,20,2854.6,0.7,3,33.3011876,-97.2748854,1590.902439,2
508,24601,311637,3,8419,8817,1500,14,3400,0.71,3,33.2409647,-97.2864312,2996.333333,2
406,37792.85714,169500,2,7909,8245,1265,20,3395,0.7,3,33.1639458,-97.3433395,6613.74026,1
569,37024.33333,438000,3,8470,9025,535,30,2555,0.641,3,33.2215253,-97.2118369,4466.898734,1
498,34673,416737,3,8635,9269,425,34,2300,0.6,3,33.1664655,-97.1404808,1442.827586,1
406,32619.04762,208150,2,8121,8220,975,128,1165,0.724,3,33.2092684,-97.3735158,5618.482143,1
437,27366,282660,3,8374,8760,1670,36,3070,0.704,3,33.2687437,-97.311359,5840.056604,2
416,32380.95238,232000,1,7464,7789,495,28,2945,0.7,3,33.053325,-97.3929289,10673.48718,1
